Path,Attempts,Resolution
"C1_CORRECT → C2_CORRECT → C3_CORRECT → COMPLETE",1,COMPLETE
"C1_CORRECT → C2_CORRECT → C3_INCORRECT → RESTART1 → C3_CORRECT → COMPLETE",2,COMPLETE
"C1_CORRECT → C2_CORRECT → C3_INCORRECT → RESTART1 → C3_INCORRECT → RESTART2 → C3_CORRECT → COMPLETE",3,COMPLETE
"C1_CORRECT → C2_CORRECT → C3_INCORRECT → RESTART1 → C3_INCORRECT → RESTART2 → C3_INCORRECT → RESTART3 → FAILED",4,FAILED
"C1_CORRECT → C2_CORRECT → C3_INCORRECT → RESTART1 → C3_INCORRECT → RESTART2 → C3_DISTRACTOR → RESTART3 → FAILED",4,FAILED
"C1_CORRECT → C2_CORRECT → C3_INCORRECT → RESTART1 → C3_DISTRACTOR → RESTART2 → C3_CORRECT → COMPLETE",3,COMPLETE
"C1_CORRECT → C2_CORRECT → C3_INCORRECT → RESTART1 → C3_DISTRACTOR → RESTART2 → C3_INCORRECT → RESTART3 → FAILED",4,FAILED
"C1_CORRECT → C2_CORRECT → C3_INCORRECT → RESTART1 → C3_DISTRACTOR → RESTART2 → C3_DISTRACTOR → RESTART3 → FAILED",4,FAILED
"C1_CORRECT → C2_CORRECT → C3_DISTRACTOR → RESTART1 → C3_CORRECT → COMPLETE",2,COMPLETE
"C1_CORRECT → C2_CORRECT → C3_DISTRACTOR → RESTART1 → C3_INCORRECT → RESTART2 → C3_CORRECT → COMPLETE",3,COMPLETE
"C1_CORRECT → C2_CORRECT → C3_DISTRACTOR → RESTART1 → C3_INCORRECT → RESTART2 → C3_INCORRECT → RESTART3 → FAILED",4,FAILED
"C1_CORRECT → C2_CORRECT → C3_DISTRACTOR → RESTART1 → C3_INCORRECT → RESTART2 → C3_DISTRACTOR → RESTART3 → FAILED",4,FAILED
"C1_CORRECT → C2_CORRECT → C3_DISTRACTOR → RESTART1 → C3_DISTRACTOR → RESTART2 → C3_CORRECT → COMPLETE",3,COMPLETE
"C1_CORRECT → C2_CORRECT → C3_DISTRACTOR → RESTART1 → C3_DISTRACTOR → RESTART2 → C3_INCORRECT → RESTART3 → FAILED",4,FAILED
"C1_CORRECT → C2_CORRECT → C3_DISTRACTOR → RESTART1 → C3_DISTRACTOR → RESTART2 → C3_DISTRACTOR → RESTART3 → FAILED",4,FAILED
"C1_CORRECT → C2_INCORRECT → RESTART1 → C2_CORRECT → C3_CORRECT → COMPLETE",2,COMPLETE
"C1_CORRECT → C2_INCORRECT → RESTART1 → C2_CORRECT → C3_INCORRECT → RESTART2 → C3_CORRECT → COMPLETE",3,COMPLETE
"C1_CORRECT → C2_INCORRECT → RESTART1 → C2_CORRECT → C3_INCORRECT → RESTART2 → C3_INCORRECT → RESTART3 → FAILED",4,FAILED
"C1_CORRECT → C2_INCORRECT → RESTART1 → C2_CORRECT → C3_INCORRECT → RESTART2 → C3_DISTRACTOR → RESTART3 → FAILED",4,FAILED
"C1_CORRECT → C2_INCORRECT → RESTART1 → C2_CORRECT → C3_DISTRACTOR → RESTART2 → C3_CORRECT → COMPLETE",3,COMPLETE
"C1_CORRECT → C2_INCORRECT → RESTART1 → C2_CORRECT → C3_DISTRACTOR → RESTART2 → C3_INCORRECT → RESTART3 → FAILED",4,FAILED
